,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  10-19 years,thinness 5-9 years,Income composition of resources,Schooling
2705,241.0,6,2.58,0.358651421,98.0,59,42.0,8,98.0,2.16,98.0,0.1,26.371428,487137.0,3.3,3.3,0.0,10.4
2706,245.0,6,2.71,29.27235366,98.0,48,41.3,8,98.0,2.9,98.0,0.1,2136.66815,48115.0,3.3,3.3,0.0,10.4
2707,248.0,6,2.85,2.19888585,99.0,0,4.7,8,99.0,3.51,99.0,0.1,174.51475,4754641.0,3.4,3.4,0.0,10.3
2708,238.0,6,2.86,186.1013972,96.0,1,4.0,8,98.0,4.3,97.0,0.1,1453.917166,473398.0,3.4,3.4,0.0,10.3
2709,231.0,7,2.88,179.6156482,97.0,1,39.4,8,66.0,3.85,83.0,0.1,1283.885977,4655741.0,3.5,3.4,0.0,10.3
2710,229.0,7,2.33,130.3784829,96.0,11,38.7,8,99.0,3.34,98.0,0.1,967.917468,4612.0,3.5,3.5,0.0,10.2
2711,221.0,7,2.35,106.180706,0.0,9,38.1,9,94.0,3.87,95.0,0.1,774.4763388,45648.0,3.6,3.5,0.0,10.2
2712,224.0,7,2.9,88.2436347,0.0,113,37.5,9,98.0,3.94,97.0,0.1,643.17518,4516131.0,3.6,3.6,0.0,0.0
2713,0.0,0,0.01,78.28120317,9.0,0,79.3,0,9.0,16.61,9.0,0.1,3542.13589,1819.0,0.2,0.1,0.0,0.0
2714,291.0,66,0.0,0.0,78.0,478,18.5,93,82.0,0.0,78.0,3.1,693.8963829,414487.0,5.6,5.6,0.488,10.0
2715,38.0,68,0.01,14.16770158,78.0,314,18.1,97,82.0,7.22,78.0,3.2,719.172669,38833338.0,5.7,5.6,0.483,10.0
2716,325.0,71,0.01,90.76144414,78.0,7878,17.6,103,82.0,7.47,78.0,4.0,662.492293,37553726.0,5.7,5.7,0.478,10.0
2717,339.0,73,0.01,92.88697859,78.0,2027,17.2,109,82.0,7.58,78.0,4.6,647.74741,3636796.0,5.8,5.8,0.477,10.0
2718,347.0,76,10.22,94.49686776,82.0,3312,16.7,114,82.0,9.9,82.0,6.8,584.3962137,3593648.0,5.9,5.9,0.477,10.7
2719,362.0,79,10.03,116.202964,8.0,1313,16.3,119,79.0,11.2,8.0,8.0,594.9972557,33915133.0,6.0,6.0,0.473,10.9
2720,378.0,82,9.63,87.04534954,79.0,1601,15.9,124,78.0,8.43,79.0,8.1,647.17732,32771895.0,6.1,6.1,0.464,10.8
2721,41.0,84,9.79,72.85023656,71.0,1319,15.6,130,69.0,9.1,71.0,8.2,449.6928183,31663896.0,6.2,6.2,0.453,10.6
2722,41.0,88,9.65,6.002527685,73.0,3776,15.2,137,7.0,9.76,73.0,8.4,41.858631,359487.0,6.3,6.3,0.442,10.3
2723,41.0,93,9.81,50.83901418,64.0,5736,14.8,145,62.0,9.86,64.0,8.6,336.4593923,2955662.0,6.4,6.4,0.434,10.6
2724,446.0,99,10.09,44.52614001,64.0,22,14.5,155,59.0,9.36,64.0,8.7,315.788227,2854394.0,6.5,6.5,0.429,10.9
2725,485.0,104,9.89,36.60609252,62.0,141,14.2,164,58.0,8.9,62.0,8.9,288.236949,27568436.0,6.6,6.6,0.427,11.6
2726,53.0,109,10.16,4.426792406,44.0,29429,13.9,173,57.0,7.54,59.0,9.4,237.9995917,2662482.0,6.7,6.7,0.418,11.5
2727,523.0,112,10.42,2.690897842,29.0,49871,13.6,181,57.0,7.78,57.0,10.0,24.2423229,2571848.0,6.8,6.8,0.404,11.0
2728,539.0,115,10.57,26.97625217,0.0,48543,13.3,187,56.0,7.26,55.0,10.8,234.984775,24854892.0,6.9,6.9,0.396,10.8
2729,554.0,116,10.47,22.59447461,0.0,42554,13.0,191,55.0,6.77,52.0,11.6,257.63369,2439274.0,7.0,7.0,0.382,9.8
2730,195.0,4,0.0,0.0,22.0,105,61.3,5,51.0,0.0,23.0,0.2,2124.662666,4515429.0,2.3,2.4,0.748,15.3
2731,23.0,4,8.06,5.663849328,22.0,0,6.7,5,45.0,7.1,23.0,0.2,314.658296,45271947.0,2.3,2.4,0.746,15.2
2732,198.0,4,8.44,52.42529588,46.0,0,6.1,5,72.0,7.67,76.0,0.2,429.71554,454896.0,2.3,2.4,0.744,15.2
2733,25.0,5,8.44,453.7830847,46.0,12746,59.6,5,72.0,7.47,76.0,0.2,3855.42128,455933.0,2.4,2.4,0.739,15.1
2734,24.0,5,8.48,415.1627705,21.0,1333,59.0,5,54.0,6.98,5.0,0.2,3569.75727,45761.0,2.4,2.5,0.734,14.9
2735,212.0,5,8.39,375.6835376,48.0,39,58.5,6,57.0,7.81,52.0,0.2,2965.142365,45877.0,2.4,2.5,0.728,14.9
2736,231.0,5,8.71,324.5491348,66.0,0,58.0,6,74.0,7.8,71.0,0.3,2545.48341,46533.0,2.5,2.6,0.734,14.9
2737,273.0,5,9.46,456.4586664,84.0,48,57.6,6,91.0,6.63,9.0,0.4,3891.37823,462582.0,2.5,2.6,0.73,14.9
2738,277.0,5,8.86,46.19685449,92.0,1005,57.2,6,98.0,6.36,98.0,0.7,368.68998,465935.0,2.5,2.7,0.723,14.8
2739,267.0,5,7.99,29.38172706,96.0,42724,56.8,6,99.0,6.39,98.0,0.8,233.18831,4678775.0,2.6,2.7,0.716,14.7
2740,278.0,5,7.31,217.4345257,97.0,2392,56.4,6,95.0,6.41,96.0,0.9,1828.717626,471515.0,2.7,2.8,0.707,14.5
2741,267.0,5,6.79,180.3537859,98.0,146,56.1,6,99.0,6.61,99.0,1.0,1367.352433,474516.0,2.7,2.8,0.7,14.6
2742,256.0,6,5.92,21.22386354,77.0,411,55.7,6,99.0,6.93,97.0,0.9,148.522488,4781295.0,2.8,2.9,0.691,14.3
2743,256.0,6,4.89,115.738974,48.0,7587,55.4,7,99.0,6.25,99.0,0.9,879.475486,48225.0,2.9,3.0,0.683,13.9
2744,253.0,6,4.31,8.897421459,7.0,16970,55.1,7,99.0,5.66,99.0,0.8,78.738243,48683865.0,2.9,3.0,0.673,13.2
2745,257.0,6,4.49,7.883791474,4.0,817,54.8,8,99.0,5.59,99.0,0.7,635.789635,49175848.0,3.0,3.1,0.669,13.3
2746,75.0,1,0.0,0.0,99.0,347,64.2,1,99.0,0.0,99.0,0.1,3911.74689,0.0,5.3,5.1,0.836,13.3
2747,77.0,1,1.91,3862.68271,99.0,344,62.4,1,99.0,3.64,99.0,0.1,44449.7435,0.0,5.2,5.0,0.832,13.3
2748,78.0,1,1.82,377.2009132,98.0,0,6.5,1,98.0,3.49,98.0,0.1,4335.64268,0.0,5.2,5.0,0.829,13.3
2749,8.0,1,1.75,3663.764502,96.0,132,58.6,1,96.0,3.45,96.0,0.1,42112.23565,0.0,5.1,5.0,0.826,13.3
2750,81.0,1,1.73,387.774991,95.0,0,57.1,1,95.0,3.7,95.0,0.1,4462.3129,0.0,5.1,4.9,0.824,13.3
2751,82.0,1,1.69,308.0660742,94.0,87,55.8,1,94.0,3.93,94.0,0.1,3549.14832,0.0,5.1,4.9,0.826,13.3
2752,84.0,1,1.73,292.4022672,93.0,0,55.1,1,94.0,4.5,93.0,0.1,3372.57517,0.0,5.1,4.9,0.831,13.2
2753,85.0,1,1.86,4003.908598,92.0,55,54.8,1,94.0,2.93,92.0,0.1,45758.9554,0.0,5.1,4.9,0.829,13.1
2754,87.0,1,1.69,3759.457226,92.0,0,55.1,1,94.0,2.57,92.0,0.1,42672.61323,0.0,5.1,4.9,0.826,12.9
2755,89.0,1,1.74,3749.941617,92.0,0,55.8,1,94.0,2.33,92.0,0.1,42372.22166,0.0,5.1,4.9,0.823,12.8
2756,92.0,1,1.79,3427.320332,92.0,29,56.6,1,94.0,2.32,94.0,0.1,39439.8197,0.0,5.1,4.9,0.818,12.6
2757,95.0,1,1.77,2972.448675,92.0,22,57.0,1,94.0,2.46,94.0,0.1,36161.1761,0.0,5.2,4.9,0.813,12.4
2758,98.0,1,1.74,277.1818332,92.0,42,56.8,1,94.0,2.65,94.0,0.1,3323.52318,0.0,5.2,5.0,0.808,12.3
2759,11.0,1,1.72,2598.842827,92.0,53,56.0,1,94.0,2.72,94.0,0.1,31311.35936,0.0,5.3,5.0,0.803,12.1
2760,14.0,1,1.67,243.7539129,92.0,30,55.0,1,94.0,2.48,94.0,0.1,3161.52935,0.0,5.3,5.1,0.798,12.0
2761,17.0,1,1.64,262.9589578,92.0,69,54.1,1,94.0,2.38,94.0,0.1,3371.26869,0.0,5.4,5.1,0.791,11.8
2762,69.0,3,10.66,0.0,0.0,91,66.6,4,96.0,0.0,96.0,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2763,71.0,3,10.37,0.0,0.0,133,66.0,4,95.0,9.12,95.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2764,72.0,3,10.32,0.0,0.0,1919,65.4,4,95.0,9.34,95.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2765,72.0,3,10.42,0.0,0.0,2092,64.8,4,95.0,9.41,95.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2766,74.0,3,10.68,0.0,0.0,1112,64.2,4,95.0,9.34,95.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2767,77.0,3,10.88,0.0,0.0,443,63.6,4,94.0,9.51,94.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2768,78.0,4,10.79,0.0,0.0,1212,63.1,4,93.0,9.81,93.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2769,8.0,4,11.47,0.0,0.0,1445,62.5,4,92.0,8.85,92.0,0.1,0.0,0.0,0.8,0.5,0.0,0.0
2770,8.0,4,11.84,0.0,0.0,1022,61.9,4,92.0,8.42,92.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2771,82.0,4,11.61,0.0,0.0,764,61.3,4,92.0,8.36,92.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2772,82.0,4,12.05,0.0,0.0,79,6.7,4,91.0,8.24,91.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2773,83.0,4,12.22,0.0,0.0,189,6.1,4,92.0,7.98,92.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2774,86.0,4,11.85,0.0,0.0,460,59.5,4,91.0,7.81,91.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2775,87.0,4,11.44,0.0,0.0,314,58.8,4,91.0,7.57,91.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2776,88.0,4,10.91,0.0,0.0,73,58.2,4,91.0,7.31,91.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2777,89.0,4,10.59,0.0,0.0,104,57.5,5,91.0,6.94,91.0,0.1,0.0,0.0,0.7,0.5,0.0,0.0
2778,279.0,85,0.0,0.0,98.0,30,23.8,119,96.0,0.0,98.0,1.4,0.0,0.0,6.7,6.5,0.0,0.0
2779,34.0,86,0.01,0.0,97.0,88,23.2,121,97.0,5.58,97.0,1.4,0.0,0.0,6.8,6.6,0.0,0.0
2780,323.0,86,4.2,0.0,91.0,185,22.5,124,91.0,5.57,91.0,2.1,0.0,0.0,6.8,6.7,0.0,0.0
2781,348.0,87,3.98,0.0,92.0,1668,21.9,126,9.0,5.72,92.0,2.4,0.0,0.0,6.9,6.8,0.0,0.0
2782,348.0,88,4.04,0.0,9.0,1622,21.3,128,88.0,5.72,9.0,3.1,0.0,0.0,7.0,6.9,0.0,0.0
2783,36.0,89,4.19,0.0,91.0,167,2.7,131,94.0,5.3,91.0,4.6,0.0,0.0,7.1,7.1,0.0,0.0
2784,368.0,91,3.97,0.0,85.0,1574,2.2,135,88.0,3.97,85.0,6.4,0.0,0.0,7.2,7.2,0.0,0.0
2785,376.0,92,3.44,0.0,86.0,3413,19.6,138,89.0,4.21,86.0,7.4,0.0,0.0,7.3,7.3,0.0,0.0
2786,411.0,94,4.4,0.0,83.0,7726,19.1,141,88.0,4.72,83.0,8.5,0.0,0.0,7.5,7.4,0.0,0.0
2787,437.0,96,4.07,0.0,9.0,2362,18.6,145,91.0,6.86,9.0,9.4,0.0,0.0,7.6,7.5,0.0,0.0
2788,449.0,97,3.94,0.0,9.0,23,18.1,149,91.0,4.66,9.0,10.0,0.0,0.0,7.7,7.6,0.0,0.0
2789,454.0,100,3.81,0.0,95.0,1419,17.7,154,95.0,4.1,95.0,10.8,0.0,0.0,7.8,7.8,0.0,0.0
2790,459.0,103,2.34,0.0,95.0,1673,17.2,160,97.0,4.6,95.0,11.5,0.0,0.0,7.9,7.9,0.0,0.0
2791,46.0,106,3.37,0.0,89.0,5131,16.8,166,91.0,3.59,89.0,12.1,0.0,0.0,8.0,8.0,0.0,0.0
2792,46.0,110,4.09,0.0,0.0,11847,16.4,173,65.0,3.28,87.0,12.5,0.0,0.0,8.2,8.1,0.0,0.0
2793,457.0,114,3.89,0.0,0.0,14649,16.0,181,64.0,2.64,79.0,12.8,0.0,0.0,8.3,8.3,0.0,0.0
2794,13.0,23,0.0,0.0,92.0,188,69.6,26,93.0,0.0,95.0,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2795,14.0,23,8.82,0.0,92.0,667,69.1,27,93.0,17.14,95.0,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2796,16.0,23,8.82,0.0,91.0,187,68.6,27,93.0,16.9,94.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2797,16.0,24,8.82,0.0,9.0,55,68.0,28,93.0,17.2,94.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2798,16.0,25,8.67,0.0,91.0,220,67.5,29,94.0,17.6,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2799,15.0,25,8.55,0.0,92.0,63,66.9,30,93.0,17.2,95.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2800,18.0,26,8.71,0.0,92.0,71,66.3,31,93.0,17.0,95.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2801,18.0,27,8.74,0.0,94.0,140,65.7,31,94.0,16.2,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2802,11.0,27,8.74,0.0,93.0,43,65.1,32,93.0,15.57,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2803,113.0,28,8.63,0.0,93.0,55,64.4,33,93.0,15.27,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2804,112.0,28,8.52,0.0,93.0,66,63.8,33,92.0,15.15,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2805,111.0,28,8.48,0.0,92.0,37,63.1,33,92.0,15.14,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2806,114.0,28,8.4,0.0,92.0,56,62.4,33,91.0,15.6,96.0,0.1,0.0,0.0,0.7,0.6,0.0,0.0
2807,115.0,28,8.33,0.0,88.0,41,61.7,33,9.0,14.55,94.0,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2808,115.0,28,8.25,0.0,89.0,116,6.9,33,89.0,13.73,94.0,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2809,114.0,28,8.21,0.0,9.0,85,6.1,33,9.0,13.7,94.0,0.1,0.0,0.0,0.8,0.7,0.0,0.0
2810,116.0,0,0.0,0.0,95.0,0,64.0,0,95.0,0.0,95.0,0.1,15524.84247,3431552.0,1.5,1.4,0.794,15.5
2811,117.0,0,6.03,463.6397821,95.0,0,63.4,0,95.0,8.58,95.0,0.1,16737.89827,3419546.0,1.5,1.4,0.791,15.5
2812,117.0,0,5.82,482.8039445,94.0,0,62.9,0,94.0,8.68,94.0,0.1,16881.2568,3485.0,1.5,1.4,0.788,15.5
2813,118.0,0,5.77,339.7190493,95.0,0,62.3,0,95.0,8.74,95.0,0.1,1592.6819,3396777.0,1.5,1.5,0.784,15.5
2814,111.0,0,5.97,417.9117441,95.0,0,61.8,1,95.0,8.55,95.0,0.1,14166.4998,3385624.0,1.5,1.5,0.78,15.5
2815,118.0,0,6.21,2331.532804,95.0,0,61.2,1,95.0,8.63,95.0,0.1,11938.212,3374415.0,1.5,1.5,0.777,15.6
2816,118.0,0,6.67,1871.736563,95.0,0,6.7,1,95.0,8.78,95.0,0.1,9415.17386,3362755.0,1.5,1.5,0.774,15.5
2817,119.0,1,6.76,24.73142261,94.0,0,6.1,1,94.0,8.17,94.0,0.1,962.312164,335824.0,1.6,1.5,0.77,15.7
2818,124.0,1,6.67,14.47305874,94.0,0,59.5,1,94.0,8.23,94.0,0.1,79.69746,3339741.0,1.6,1.5,0.76,15.3
2819,117.0,1,6.58,1712.225506,95.0,0,58.9,1,95.0,11.17,95.0,0.1,5877.87678,333143.0,1.6,1.6,0.756,15.2
2820,123.0,1,6.35,152.5448405,96.0,0,58.3,1,96.0,11.15,96.0,0.1,522.951116,3325612.0,1.6,1.6,0.753,15.5
2821,122.0,1,5.66,882.356362,94.0,0,57.7,1,95.0,11.59,94.0,0.1,4117.38853,332496.0,1.7,1.6,0.75,15.5
2822,121.0,1,5.11,160.8400141,91.0,0,57.0,1,91.0,6.52,91.0,0.1,3622.52284,3325637.0,1.7,1.6,0.747,15.0
2823,124.0,1,5.86,27.46880965,95.0,0,56.3,1,93.0,7.18,95.0,0.1,488.768855,3327773.0,1.7,1.7,0.746,14.7
2824,123.0,1,6.48,421.4804282,94.0,0,55.7,1,94.0,7.46,94.0,0.1,6281.37747,332713.0,1.8,1.7,0.742,14.2
2825,131.0,1,6.65,645.9583816,92.0,0,55.0,1,92.0,7.82,9.0,0.1,6871.897677,3321245.0,1.8,1.7,0.738,14.0
2826,184.0,15,0.0,0.0,99.0,22,44.7,17,99.0,0.0,99.0,0.1,2137.576852,312989.0,3.0,3.1,0.697,12.1
2827,184.0,16,0.01,0.442802404,99.0,8,43.9,18,99.0,5.84,99.0,0.1,25.448414,37577.0,3.0,3.1,0.69,12.1
2828,185.0,17,0.01,19.1624696,99.0,0,43.0,19,99.0,6.32,99.0,0.1,197.551233,32432.0,3.0,3.1,0.681,12.0
2829,184.0,18,0.01,16.71406295,99.0,0,42.2,21,99.0,6.49,99.0,0.1,174.468298,297745.0,3.0,3.1,0.673,12.0
2830,183.0,19,2.83,140.6905284,99.0,476,41.4,22,99.0,5.65,99.0,0.1,1564.966945,293394.0,3.0,3.1,0.664,12.0
2831,183.0,20,2.73,119.4571154,99.0,117,4.7,23,99.0,5.34,99.0,0.2,1377.8214,285624.0,3.0,3.1,0.657,11.9
