id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,energy,loudness,mode,decibel_range,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,first_artist,second_artist
4FfWnObBvzZA7Gw4IF9WAa,El Cartero,35.0,236747,0.0,"[""Widinson""]",['12vrtHT4iDkidR005vkAIc'],2015-11-25,77.2,-4.731,m,,0.029,0.219,1.12e-05,0.308,0.934,105.897,4.0,Widinson,
3UyeiyfRdZEGq0yLq1bhSr,"My Fair Share (The Love Them from ""One on One"")",50.0,164133,0.0,"[""Seals and Crofts""]",['6jdObwsrIjSRnBbMw6lPBj'],Year 1977,34.2,-13.592,M,,0.0279,0.294,0.0,0.0785,0.274,103.672,4.0,Seals and Crofts,
0NLIFSZxPzQhCwnkn5PJYs,"Canta Canta, Minha Gente",56.0,152267,0.0,"[""Martinho Da Vila""]",['6rM2yY0GnVcOHMU5GD3y9E'],1993-11-08,73.0,-11.048,M,,0.347,0.453,6.34e-05,0.124,0.905,93.698,4.0,Martinho Da Vila,
356WKxlF1H7oA2q6rdVaMh,Tédio,31.0,177467,0.0,"[""Biquini Cavadão""]",['7E5dcvoiZra9wwBuXYAYTw'],Year 1986,85.8,-6.653,M,,0.162,0.267,0.253,0.284,0.923,143.97799999999995,4.0,Biquini Cavadão,
4jU7NPkz4HVnM4hweqNhI1,Blue Orchid,66.0,157560,0.0,"[""The White Stripes""]",['4F84IBURUo98rz4r61KF70'],2005-06-07,64.5,-8.535,m,,0.318,0.0863,6.2e-06,0.332,0.612,151.30700000000004,4.0,The White Stripes,
6gvZuPMjpv0BNtBSrYiu5G,קשר הירח,11.0,274000,0.0,"[""Korin Allal""]",['3IF20nS3xzinWeuc1PZHW7'],1990-10-01,26.900000000000002,-13.732,M,,0.0305,0.3720000000000001,0.0,0.682,0.132,81.78699999999998,4.0,Korin Allal,
2f2Q8IqPp2k1UZAtN5uCNJ,My Blues,1.0,170880,0.0,"[""Percy Mayfield""]",['4BfUHTiOoOcunsrw4mS2HU'],Year 1950,19.7,-12.271,M,,0.0428,0.7809999999999999,2.57e-05,0.1669999999999999,0.402,112.759,3.0,Percy Mayfield,
3inGHqSE9tXhwtQZ8NNa85,Perdonen Mi Canto,30.0,205080,0.0,"[""Los Tigres Del Norte""]",['3hYtANQYrE6pd2PbtEyTIy'],1994-01-01,38.9,-10.729,M,,0.0381,0.537,0.0,0.0716,0.8809999999999999,120.803,4.0,Los Tigres Del Norte,
4w0mTXaAAMhNH4qF0fniCC,Touch,52.0,180840,0.0,"[""Shift K3Y""]",['26OrZl5U3VNGHU9qUj8EcM'],2014-04-13,90.7,-6.099,m,,0.247,0.263,1.99e-06,0.062,0.6,133.042,4.0,Shift K3Y,
6U7gN4xpuuNFKJhE0WImuw,Help Me,39.0,192627,0.0,"[""Canned Heat""]",['27a0GiCba9K9lnkKidroFU'],1967-01-01,38.3,-11.982,m,,0.0734,0.843,0.146,0.131,0.813,123.034,4.0,Canned Heat,
14icbRJtCczd4jgGYoLY4p,"Die Romantiker, Walzer, Op. 167",0.0,422760,0.0,"[""Joseph Lanner"", ""Daniel Barenboim"", ""Wiener Philharmoniker""]","['7Le2YdeT1bRbrR0t0FC839', '78sEozQOEJxzXegUuqRSgH', '003f4bk13c6Q3gAUXv7dGJ']",2014-01-10,12.3,-22.425,M,,0.0843,0.885,0.875,0.693,0.234,96.444,3.0,Joseph Lanner,Daniel Barenboim
234KktmIe84z77j8DBofgE,Afterski,50.0,240347,0.0,"[""Broiler""]",['3836OTICMPjhTMMcpPw4EC'],2013-01-01,84.8,-3.282,m,,0.198,0.0036,3.66e-05,0.0916,0.488,131.958,4.0,Broiler,
6pAxk7dCey5w8dgPAuD6Er,Школьница,17.0,298627,0.0,"[""Екатерина Семенова""]",['3B1h11cRc01SSykCEykbi9'],1994-01-01,36.9,-13.002,m,,0.0405,0.777,0.0,0.111,0.627,125.026,4.0,Екатерина Семенова,
2bY5N2cXMAszDSHYHompMb,Hula Hula Boys,12.0,255200,0.0,"[""Jacob Haugaard""]",['0i6usqMobtDshYpnUOqhpu'],1996-09-27,76.5,-7.32,M,,0.0315,0.0988,0.0,0.362,0.82,149.99,4.0,Jacob Haugaard,
0c0tEae1vaT8OC76R5jth8,Föld És Ég,31.0,381533,1.0,"[""Tankcsapda""]",['3QbmGjx9VYiu3fpG8NjIZI'],Year 2013,95.6,-4.597,m,,0.0552,0.0325,0.0,0.115,0.317,146.958,4.0,Tankcsapda,
0mXkEze76xuO3vsNDqW3O4,Yours Is No Disgrace - Live,24.0,863773,0.0,"[""Yes""]",['7AC976RDJzL2asmZuz7qil'],1973-12-14,88.4,-10.456,M,,0.123,0.271,0.0576,0.986,0.331,144.28,4.0,Yes,
7C9Fvg2V7a0QweHxWKdkGv,Mix Edit 9,4.0,32000,0.0,"[""Various Artists""]",['0LyfQWJT6nXafLPZqxe9Of'],2018-12-28,91.9,-5.87,M,,0.0389,0.000952,0.601,0.121,0.362,120.014,4.0,Various Artists,
386p5FU0eBrHQJBg5OJktc,Inn I Mitt Liv,33.0,223680,0.0,"[""Vidar Johnsen""]",['0ifMojSgd2uFsClsUdqkKO'],2012-08-31,36.0,-7.862999999999999,M,,0.0286,0.159,0.0,0.201,0.107,77.051,3.0,Vidar Johnsen,
28XwdCqT9wMsJFjOLOYoHG,You Belong To Me - Original Vox,0.0,510714,0.0,"[""Bobina"", ""Betsie Larkin""]","['7H63wD8xWXAKdYVjZmE90B', '60pOmdZFfpHQdN9QOnMJcP']",2011-12-19,76.8,-7.638,m,,0.0369,8.03e-05,0.00203,0.0549,0.259,134.982,4.0,Bobina,Betsie Larkin
04Wqlpuu7SasLagDEwyzi2,The Best Is Yet to Come,31.0,170333,0.0,"[""Chet Lam""]",['0eE5MIp5hONB0TxIJS5H48'],2003-01-14,29.299999999999997,-10.418,M,,0.0346,0.799,0.000218,0.126,0.35,140.094,4.0,Chet Lam,
5f4Hy5mw5SRaUgXX9c6P5S,Sum 2 Prove,71.0,205760,1.0,"[""Lil Baby""]",['5f7VJjfbwm532GiveGC0ZK'],2020-02-28,55.2,-7.5710000000000015,m,,0.274,0.0169,0.0,0.122,0.408,124.011,4.0,Lil Baby,
3ERjVEBaQ6ahbLh4XcVAku,I'll Be With You In Apple Blossom Time,0.0,170017,0.0,"[""Wayne King and His Orchestra""]",['5edoNq8PUPq44168sgGr6R'],1947-01-12,21.9,-17.070999999999998,M,,0.0386,0.932,0.664,0.342,0.217,102.95,3.0,Wayne King and His Orchestra,
51jPRHwVgtavVurTmbCeU7,Vad har jag gjort?,21.0,137333,0.0,"[""Ebba Grön""]",['2gvwV7CcpLmKyaE0fiSKI9'],1979-01-01,83.5,-9.79,M,,0.0472,0.0311,5.09e-05,0.322,0.5720000000000001,167.96099999999996,4.0,Ebba Grön,
0uPvnhU6hNx8O4M79x8hyN,Deep In A Dream - Remastered,33.0,169373,0.0,"[""Frank Sinatra""]",['1Mxqyy3pSjf8kZZL4QVxS0'],Year 1955,6.529999999999999,-18.691,M,,0.035,,0.00161,0.162,0.193,87.414,3.0,Frank Sinatra,
4icIWz2jQbEbeIYVWDfTZa,A Week Ago,42.0,300493,1.0,"[""JAY-Z"", ""Too $hort""]","['3nFkdlSjzX9mRTtwJOzDYB', '4sb7rZNN93BSS6Gqgepo4v']",1998-11-29,71.9,-8.677,M,,0.242,0.00303,1.55e-05,0.1,0.306,90.292,4.0,JAY-Z,Too $hort
4GC1Y6ALSWw8zBp4urbqp9,Dizer Que Não (feat. Matay),35.0,232480,0.0,"[""Dengaz"", ""Matay""]","['4nT1hsAySSK78ycor1bVn0', '0mQ2KL6r4mA1roPZRD7iQJ']",2015-11-20,65.7,-7.47,M,,0.0435,0.355,0.0,0.107,0.407,95.994,4.0,Dengaz,Matay
,Even If,65.0,255160,0.0,"[""MercyMe""]",['6APm8EjxOHSYM5B4i3vT3q'],2017-02-17,56.7,-5.7360000000000015,M,,0.0414,0.368,2.78e-05,0.0953,0.12,110.545,4.0,MercyMe,
5qVMrD2TKTeCx1Im1ObE9c,Gunsmoke,1.0,205318,0.0,"[""Bjorn Akesson""]",['3htrZBhzS3ZS9on1Yjh8LH'],2014-01-03,90.3,-6.152,m,,0.348,0.000481,0.0625,0.0875,0.285,134.036,4.0,Bjorn Akesson,
5qVzptd3hPiJrCPIkLai0I,"Violin Concerto in E Minor, Op. 64, MWV O 14: 2. Andante",17.0,440773,0.0,"[""Felix Mendelssohn"", ""Kyung Wha Chung"", ""Orchestre Symphonique de Montréal"", ""Charles Dutoit""]","['6MF58APd3YV72Ln2eVg710', '0LtGkeRp03UAHQZNKrQ4XC', '4AcXapei4U7xnWecv9AEBd', '0Ku5VBNL7cfGXRhp2BxXEQ']",1982-01-01,10.6,-23.778,M,,0.0434,0.863,0.129,0.0779,0.0409,93.7,3.0,Felix Mendelssohn,Kyung Wha Chung
0eyUA8u50yg6iCiwG0vJQl,Via,49.0,313560,0.0,"[""Claudio Baglioni""]",['5zBAb4P2NoTps0shbgZvgj'],2005-10-26,83.4,-5.359,m,,0.0671,0.306,0.0,0.158,0.642,180.567,4.0,Claudio Baglioni,
2xkUVv0X78TUGNGEqrAgBe,Camila,26.0,235253,0.0,"[""100%""]",['4f41wKRJwzp6TA3Hr9eMyx'],2010-12-13,59.20000000000001,-6.084,M,,0.0473,0.422,0.0,0.165,0.947,85.01100000000002,4.0,100%,
25UzkhkcAbvyG8gCMZrzuO,Dil Ke Badle Sanam,37.0,257360,0.0,"[""Udit Narayan"", ""Alka Yagnik""]","['70B80Lwx2sxti0M1Ng9e8K', '3gBKY0y3dFFVRqicLnVZYz']",2005-09-16,92.0,-4.772,M,,0.0728,0.448,6.29e-06,0.0508,0.957,85.99799999999998,4.0,Udit Narayan,Alka Yagnik
7tRj808ITucAZihMPiJAbU,"Wielka Ulewo, Wielka Sniezyco",16.0,231293,0.0,"[""Grzegorz Turnau""]",['5bQZCiENsgmW4SvUOc86qI'],Year 1995,26.8,-11.522,M,,0.0467,0.8440000000000001,2.35e-06,0.176,0.154,179.891,4.0,Grzegorz Turnau,
0MGQHJPSWR2e2fj8VTNLYF,午夜の待ち合わせ,40.0,170640,0.0,"[""Hello Sleepwalkers""]",['12CmFAwzxYnVtJgnzIysvm'],2014-02-19,95.89999999999999,-3.014,M,,0.0952,0.000891,0.0,0.327,0.5710000000000001,94.277,4.0,Hello Sleepwalkers,
1UhcaktGoXoePXjF9Y3ma5,"Concerto in D minor after Alessandro Marcello, BWV 974: III. Presto",19.0,157507,0.0,"[""Johann Sebastian Bach"", ""Glenn Gould""]","['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",Year 1957,43.9,-17.245,M,,0.048,0.984,0.887,0.158,0.942,114.424,4.0,Johann Sebastian Bach,Glenn Gould
2kRr6yQpcUyBQxFjywQGJj,Super Drei,32.0,136133,0.0,"[""Die Ärzte""]",['0cbL6CYnRqpAxf1evwUVQD'],1995-09-18,96.89999999999999,-4.337,M,,0.13,0.0015,1.98e-06,0.718,0.383,149.968,4.0,Die Ärzte,
2v9jERQN9dKcBrDLIiY5gC,Jeesus pelastaa,10.0,194333,0.0,"[""Juice Leskinen""]",['4W6vvLzFQKixmJXSJK3wLp'],Year 1973,91.5,-6.424,M,,0.129,0.404,0.107,0.722,0.536,122.559,4.0,Juice Leskinen,
27jQE6fxPX9BCfy0iQ9vz2,Modern tangó,7.0,219467,0.0,"[""Napoleon Boulevard""]",['1sFIXaWe4nlXTLYlpb0plj'],1990-08-01,44.4,-11.115,m,,0.0383,0.6779999999999999,1.4800000000000002e-05,0.0694,0.7190000000000001,129.009,4.0,Napoleon Boulevard,
1KzTJbtSYEignsmAWoLL2R,Capítulo 6.12 - por Senderos Que la Maleza Oculta,0.0,132800,0.0,"[""Knut Hamsun""]",['7LK8Bg1BHQ10T7WQlt5UoJ'],1949-03-04,38.1,-14.888,M,,0.9,0.499,0.0,0.152,0.604,166.236,1.0,Knut Hamsun,
0QfWOoNZibrxHpzdKWEHBZ,When It's Sleepy Time Down South,4.0,200200,0.0,"[""Louis Armstrong""]",['19eLuQmk9aCobbVDHc6eek'],Year 1923,17.8,-14.814,M,,0.0793,0.989,9.85e-06,0.104,0.37,105.093,4.0,Louis Armstrong,
1eHcUblSPxi8P1vKNIWsY7,Fade Away,24.0,272440,0.0,"[""RIP SLYME""]",['5kgH3qVSSDPPmKnQfrkblH'],1998-02-21,92.2,-6.773,M,,0.241,0.277,4.58e-05,0.139,0.789,192.006,4.0,RIP SLYME,
1oaeIaU3LMv9cExLo3JmCS,In a Lifetime - Remastered,30.0,187987,0.0,"[""Clannad"", ""Bono""]","['0BkAYxgwF9VQiid4wI07yJ', '0m2Wc2gfNUWaAuBK7URPIJ']",Year 1985,51.9,-9.957,m,,0.0302,0.429,3.47e-05,0.0865,0.304,133.54,4.0,Clannad,Bono
4DZjXYBd21KDCGW8g1eLqI,Въртележката,27.0,213333,0.0,"[""Yanitsa""]",['3a4iT4FdFp6x0IqVTl47vR'],2018-09-23,92.7,-4.5680000000000005,m,,0.0776,0.0141,0.000435,0.336,0.8490000000000001,152.997,4.0,Yanitsa,
34TPRBmUy5MZOnD8gSCcGW,Alma Redemptoris Mater - Antiphona (tonus monasticus) in Honorem Beatae Mariae Virginis,24.0,112000,0.0,"[""Gregorian Chant"", ""Benedictine Monks of the Abbey of St. Maurice & St. Maur, Clevaux""]","['0Hu0feSkb1IIG0PbZ5P2s9', '6bYu83C0X8Qej7nIk3X5GF']",1960-01-01,16.0,-19.936,M,,0.0448,0.991,0.0787,0.305,0.0389,127.268,5.0,Gregorian Chant,"Benedictine Monks of the Abbey of St. Maurice & St. Maur, Clevaux"
0Ka7jPhToi7Cg3ZWJDA0RO,Mot okänt land - 1996 Remastered Version,21.0,181400,0.0,"[""Hep Stars""]",['7FZqbNdkNb0UVVze7L8PGp'],1992-01-01,44.6,-7.813,M,,0.0304,0.0576,0.0,0.318,0.611,118.308,4.0,Hep Stars,
3pl2b6MC9zyFVSzYGzgyVD,Winnetou - Melodie,38.0,214760,0.0,"[""Martin Böttcher""]",['5UDsBbZYQfKL8OQycvwvBO'],1984-10-01,42.4,-10.078,M,,0.0351,0.499,0.7829999999999999,0.103,0.149,70.24,4.0,Martin Böttcher,
6aF0mAa0H9w3oHzR2entAr,I Am Here,40.0,223893,0.0,"[""Welyar Kauntu""]",['5V0sYxZnXc3PVsMNSp6KYT'],2014-11-27,34.5,-7.83,M,,0.0312,0.8440000000000001,0.0,0.174,0.279,133.505,4.0,Welyar Kauntu,
5sCLe2F8qkAIUtTORsnjpE,人として,54.0,244720,0.0,"[""SUPER BEAVER""]",['0SMhG4gXGD4gzLMMz08cQU'],2016-06-01,84.7,-3.732,M,,0.046,0.0039,0.0,0.0892,0.491,164.19099999999997,4.0,SUPER BEAVER,
0WzODQag2H6Ob1JPOpSYSM,Eno Ide,29.0,342230,0.0,"[""Raghu Dixit""]",['72578usTM6Cj5qWsi471Nc'],Year 2008,37.3,-11.386,M,,0.0334,0.847,0.0225,0.0938,0.404,125.96,4.0,Raghu Dixit,
4zUV7JCgdENT2IhD6Bv8Zk,קצר במוח,19.0,97133,0.0,"[""HaPijamot""]",['0yRCmzQtpQhPYHnSzZfXgI'],2003-09-22,79.5,-5.337999999999999,M,,0.0368,0.0554,0.0,0.542,0.569,125.041,4.0,HaPijamot,
56H4dr7PcohGmfKVh697k1,I'm Gonna Run You Down,0.0,172953,0.0,"[""Richard M. Jones""]",['6q9sbVwxiKGeoVXlZwLg3y'],Year 1929,71.7,-6.084,m,,0.0995,0.951,0.354,0.11,0.742,134.155,4.0,Richard M. Jones,
5pD6Xljlat1gxDVSlOG0ip,A Great Design,53.0,270845,0.0,"[""Black Marble""]",['6Nii4K84ZzBZS8X2MP8c9t'],2012-10-09,59.099999999999994,-11.182,M,,0.0309,0.451,0.885,0.112,0.27,110.001,4.0,Black Marble,
5vnHyf7nm9NWYbIWxEa5on,Jõul (feat. Sass Henno),32.0,219000,0.0,"[""5MIINUST"", ""Sass Henno""]","['6acByqWJeuaM0TX5VoY6an', '2QEjAULvTmuy5eQBHcIpzf']",2018-01-21,86.9,,M,,0.0673,0.00403,0.0,0.296,0.805,129.982,4.0,5MIINUST,Sass Henno
03l9Hokx8xczRvF8lwfMQU,Stanley & Livingstone,21.0,176013,0.0,"[""Eddie Meduza""]",['3cMEiDsx9VpGvF71hUGswS'],1989-05-01,40.9,-14.217,M,,0.0416,0.22,0.0,0.0539,0.972,98.682,4.0,Eddie Meduza,
6GwDPsB9FBmjPF8zPuempi,Learning to Fly - 2019 remix [Live],30.0,315400,0.0,"[""Pink Floyd""]",['0k17h0D3J5VfsdmQ1iZtE9'],2019-12-13,65.2,-11.734000000000002,M,,0.048,0.0478,0.015,0.789,0.518,170.09900000000005,4.0,Pink Floyd,
7hbmUJvROw26fmRn0HKDef,Michel in Der Suppenschüssel - Teil 18,26.0,91667,0.0,"[""Michel""]",['7oBzmocu7Y6P5A0ljwNl8j'],Year 1989,55.39999999999999,-13.935,M,,0.946,0.705,0.0,0.662,0.6809999999999999,58.915,3.0,Michel,
6RqgWgZ7ZCRdjstcADb24Q,O Dia Da Saudade,27.0,153227,0.0,"[""Raul Seixas""]",['7jrRQZg4FZq6dwpi3baKcu'],Year 1976,98.3,-2.579,m,,0.279,0.43,0.0,0.499,0.44,140.02100000000002,4.0,Raul Seixas,
